flight_id,registration,dep_station,arr_station,std,sta,block_hours,ground_time_h_at_arrival,pax_first_class
FD4037,D-AXFD,FRA,JFK,2026-09-01T01:00:00Z,2026-09-01T09:30:00Z,8.5,3.0,3
FD4061,D-AXFF,FRA,SIN,2026-09-01T01:00:00Z,2026-09-01T13:30:00Z,12.5,2.5,7
FD4001,D-AXFA,FRA,JFK,2026-09-01T04:00:00Z,2026-09-01T12:30:00Z,8.5,2.0,8
FD4025,D-AXFC,MUC,JNB,2026-09-01T06:00:00Z,2026-09-01T16:30:00Z,10.5,1.5,8
FD4049,D-AXFE,MUC,JNB,2026-09-01T06:00:00Z,2026-09-01T16:30:00Z,10.5,12.0,3
FD4038,D-AXFD,JFK,FRA,2026-09-01T12:30:00Z,2026-09-01T20:00:00Z,7.5,3.0,6
FD4002,D-AXFA,JFK,FRA,2026-09-01T14:30:00Z,2026-09-01T22:00:00Z,7.5,8.0,7
FD4013,D-AXFB,FRA,SIN,2026-09-01T16:00:00Z,2026-09-02T04:30:00Z,12.5,1.5,4
FD4062,D-AXFF,SIN,FRA,2026-09-01T16:00:00Z,2026-09-02T05:00:00Z,13.0,3.0,3
FD4026,D-AXFC,JNB,MUC,2026-09-01T18:00:00Z,2026-09-02T04:48:00Z,10.8,2.0,4
FD4039,D-AXFD,FRA,SIN,2026-09-01T23:00:00Z,2026-09-02T11:30:00Z,12.5,8.0,8
FD4050,D-AXFE,JNB,MUC,2026-09-02T04:30:00Z,2026-09-02T15:18:00Z,10.8,2.0,4
FD4003,D-AXFA,FRA,JFK,2026-09-02T06:00:00Z,2026-09-02T14:30:00Z,8.5,3.0,6
FD4014,D-AXFB,SIN,FRA,2026-09-02T06:00:00Z,2026-09-02T19:00:00Z,13.0,3.0,7
FD4027,D-AXFC,MUC,JNB,2026-09-02T06:48:00Z,2026-09-02T17:18:00Z,10.5,2.5,8
FD4063,D-AXFF,FRA,JFK,2026-09-02T08:00:00Z,2026-09-02T16:30:00Z,8.5,12.0,5
