source_id,rel_type,target_id,properties
AC:D-AXFA,BASED_AT,ST:FRA,{}
AC:D-AXFB,BASED_AT,ST:FRA,{}
AC:D-AXFC,BASED_AT,ST:MUC,{}
AC:D-AXFD,BASED_AT,ST:FRA,{}
AC:D-AXFE,BASED_AT,ST:MUC,{}
AC:D-AXFF,BASED_AT,ST:FRA,{}
ST:FRA,SERVICED_BY,ORG:FACIS-MRO-Alpha,{}
ST:MUC,SERVICED_BY,ORG:FACIS-MRO-Alpha,{}
ST:SIN,SERVICED_BY,ORG:FACIS-MRO-Delta,{}
ST:JFK,SERVICED_BY,ORG:FACIS-MRO-Bravo,{}
ST:GRU,SERVICED_BY,ORG:FACIS-MRO-Bravo,{}
ST:HND,SERVICED_BY,ORG:FACIS-MRO-Delta,{}
ST:JNB,SERVICED_BY,ORG:FACIS-MRO-Charlie,{}
PN:DA-SCU-4410,MANUFACTURED_BY,ORG:Suite OEM (synthetic),{}
PN:DA-ACT-2201,MANUFACTURED_BY,ORG:Suite OEM (synthetic),{}
PN:DA-ACT-2205,MANUFACTURED_BY,ORG:Suite OEM (synthetic),{}
PN:DA-HRN-7712,MANUFACTURED_BY,ORG:Suite OEM (synthetic),{}
PN:DA-CON-3390,MANUFACTURED_BY,ORG:Suite OEM (synthetic),{}
PN:DA-IFE-9002,MANUFACTURED_BY,ORG:Suite OEM (synthetic),{}
PN:DA-PSU-5150,MANUFACTURED_BY,ORG:Suite OEM (synthetic),{}
PN:DA-DIV-1180,MANUFACTURED_BY,ORG:Suite OEM (synthetic),{}
PN:DA-CSH-0450,MANUFACTURED_BY,ORG:Suite OEM (synthetic),{}
AC:D-AXFA,HAS_SEAT,SEAT:D-AXFA-1A,{}
SEAT:D-AXFA-1A,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-23434""}"
SEAT:D-AXFA-1A,HAS_COMPONENT,PN:DA-IFE-9002,"{""serial"": ""SEB-98696""}"
SEAT:D-AXFA-1A,HAS_COMPONENT,PN:DA-ACT-2201,{}
SEAT:D-AXFA-1A,HAS_COMPONENT,PN:DA-DIV-1180,{}
AC:D-AXFA,HAS_SEAT,SEAT:D-AXFA-1K,{}
SEAT:D-AXFA-1K,HAS_COMPONENT,PN:DA-SCU-4410,"{""serial"": ""SCU-22280""}"
