node_id,label,properties
AC:D-AXFA,Aircraft,"{""registration"": ""D-AXFA"", ""msn"": ""MSN0812"", ""type"": ""A350-941"", ""base"": ""FRA""}"
AC:D-AXFB,Aircraft,"{""registration"": ""D-AXFB"", ""msn"": ""MSN0847"", ""type"": ""A350-941"", ""base"": ""FRA""}"
AC:D-AXFC,Aircraft,"{""registration"": ""D-AXFC"", ""msn"": ""MSN0903"", ""type"": ""A350-941"", ""base"": ""MUC""}"
AC:D-AXFD,Aircraft,"{""registration"": ""D-AXFD"", ""msn"": ""MSN0951"", ""type"": ""A350-1041"", ""base"": ""FRA""}"
AC:D-AXFE,Aircraft,"{""registration"": ""D-AXFE"", ""msn"": ""MSN1007"", ""type"": ""A350-1041"", ""base"": ""MUC""}"
AC:D-AXFF,Aircraft,"{""registration"": ""D-AXFF"", ""msn"": ""MSN1044"", ""type"": ""A350-1041"", ""base"": ""FRA""}"
ST:FRA,Station,"{""iata"": ""FRA"", ""name"": ""Frankfurt Main"", ""line_maintenance"": true, ""base_maintenance"": true, ""mro_partner"": ""FACIS-MRO-Alpha""}"
ORG:FACIS-MRO-Alpha,Organisation,"{""name"": ""FACIS-MRO-Alpha"", ""role"": ""MRO"", ""federation_member"": true}"
ST:MUC,Station,"{""iata"": ""MUC"", ""name"": ""Munich"", ""line_maintenance"": true, ""base_maintenance"": true, ""mro_partner"": ""FACIS-MRO-Alpha""}"
ORG:FACIS-MRO-Alpha,Organisation,"{""name"": ""FACIS-MRO-Alpha"", ""role"": ""MRO"", ""federation_member"": true}"
ST:SIN,Station,"{""iata"": ""SIN"", ""name"": ""Singapore Changi"", ""line_maintenance"": true, ""base_maintenance"": false, ""mro_partner"": ""FACIS-MRO-Delta""}"
ORG:FACIS-MRO-Delta,Organisation,"{""name"": ""FACIS-MRO-Delta"", ""role"": ""MRO"", ""federation_member"": true}"
ST:JFK,Station,"{""iata"": ""JFK"", ""name"": ""New York JFK"", ""line_maintenance"": true, ""base_maintenance"": false, ""mro_partner"": ""FACIS-MRO-Bravo""}"
