station,part_number,qty_on_hand,qty_reserved,replenish_eta_days
FRA,DA-SCU-4410,3,0,0
FRA,DA-ACT-2201,2,1,0
FRA,DA-ACT-2205,3,0,0
FRA,DA-HRN-7712,3,0,0
FRA,DA-CON-3390,2,0,0
FRA,DA-IFE-9002,1,0,0
FRA,DA-PSU-5150,2,0,0
FRA,DA-DIV-1180,3,0,0
FRA,DA-CSH-0450,3,0,0
MUC,DA-SCU-4410,3,1,0
MUC,DA-ACT-2201,3,0,0
MUC,DA-ACT-2205,1,1,0
MUC,DA-HRN-7712,3,0,0
MUC,DA-CON-3390,1,0,0
MUC,DA-IFE-9002,2,0,0
MUC,DA-PSU-5150,2,1,0
MUC,DA-DIV-1180,4,0,0
MUC,DA-CSH-0450,1,0,0
SIN,DA-SCU-4410,0,0,5
SIN,DA-ACT-2201,2,0,0
SIN,DA-ACT-2205,1,0,0
SIN,DA-HRN-7712,1,0,0
SIN,DA-CON-3390,0,0,2
SIN,DA-IFE-9002,1,0,0
SIN,DA-PSU-5150,0,0,4
SIN,DA-DIV-1180,1,0,0
SIN,DA-CSH-0450,0,0,14
JFK,DA-SCU-4410,0,0,5
JFK,DA-ACT-2201,1,1,0
JFK,DA-ACT-2205,2,0,0
JFK,DA-HRN-7712,0,0,10
JFK,DA-CON-3390,0,0,2
JFK,DA-IFE-9002,0,0,7
JFK,DA-PSU-5150,1,0,0
JFK,DA-DIV-1180,0,0,6
JFK,DA-CSH-0450,1,1,0
GRU,DA-SCU-4410,0,0,5
GRU,DA-ACT-2201,0,0,3
GRU,DA-ACT-2205,0,0,3
GRU,DA-HRN-7712,0,0,10
GRU,DA-CON-3390,1,0,0
GRU,DA-IFE-9002,1,0,0
GRU,DA-PSU-5150,0,0,4
GRU,DA-DIV-1180,1,0,0
GRU,DA-CSH-0450,0,0,14
HND,DA-SCU-4410,0,0,5
HND,DA-ACT-2201,0,0,3
HND,DA-ACT-2205,0,0,3
HND,DA-HRN-7712,0,0,10
HND,DA-CON-3390,1,0,0
HND,DA-IFE-9002,1,0,0
HND,DA-PSU-5150,1,0,0
HND,DA-DIV-1180,2,1,0
HND,DA-CSH-0450,2,0,0
JNB,DA-SCU-4410,0,0,5
JNB,DA-ACT-2201,0,0,3
JNB,DA-ACT-2205,0,0,3
JNB,DA-HRN-7712,0,0,10
JNB,DA-CON-3390,0,0,2
JNB,DA-IFE-9002,0,0,7
JNB,DA-PSU-5150,0,0,4
JNB,DA-DIV-1180,1,0,0
JNB,DA-CSH-0450,0,0,14
