seat_id,registration,suite,cabin_zone,seat_pn,seat_sn,scu_pn,scu_sn,seb_pn,seb_sn,firmware_version,install_date,actuation_cycles,last_scheduled_check,sellable
D-AXFA-1A,D-AXFA,1A,FC,DA-STE-1000,SN-246316,DA-SCU-4410,SCU-23434,DA-IFE-9002,SEB-98696,3.4.1,2023-01-11,4857,2026-05-11,True
D-AXFA-1K,D-AXFA,1K,FC,DA-STE-1000,SN-131244,DA-SCU-4410,SCU-22280,DA-IFE-9002,SEB-38657,3.4.1,2023-07-05,1720,2026-03-26,True
D-AXFA-2A,D-AXFA,2A,FC,DA-STE-1000,SN-688508,DA-SCU-4410,SCU-36062,DA-IFE-9002,SEB-95181,3.5.2,2025-02-07,1634,2026-05-05,True
D-AXFA-2K,D-AXFA,2K,FC,DA-STE-1000,SN-948749,DA-SCU-4410,SCU-10851,DA-IFE-9002,SEB-30926,3.5.2,2024-06-07,5757,2026-06-17,True
D-AXFA-3A,D-AXFA,3A,FC,DA-STE-1000,SN-325772,DA-SCU-4410,SCU-54118,DA-IFE-9002,SEB-23396,3.4.1,2024-03-17,3747,2026-08-03,True
D-AXFA-3K,D-AXFA,3K,FC,DA-STE-1000,SN-988662,DA-SCU-4410,SCU-55082,DA-IFE-9002,SEB-89131,3.5.0,2026-02-05,7081,2026-05-02,True
D-AXFA-4A,D-AXFA,4A,FC,DA-STE-1000,SN-496922,DA-SCU-4410,SCU-20328,DA-IFE-9002,SEB-82357,3.5.0,2022-10-25,3245,2026-03-22,True
D-AXFA-4K,D-AXFA,4K,FC,DA-STE-1000,SN-705397,DA-SCU-4410,SCU-35203,DA-IFE-9002,SEB-19116,3.4.1,2022-08-19,7125,2026-06-30,True
D-AXFB-1A,D-AXFB,1A,FC,DA-STE-1000,SN-183667,DA-SCU-4410,SCU-40512,DA-IFE-9002,SEB-23238,3.5.2,2024-10-12,5941,2026-05-03,True
D-AXFB-1K,D-AXFB,1K,FC,DA-STE-1000,SN-270555,DA-SCU-4410,SCU-58520,DA-IFE-9002,SEB-56566,3.4.1,2022-08-01,7177,2026-06-20,True
