ts,seat_id,flight_id,can_error_count,actuator_current_a,scu_temp_c,vibration_index
2026-09-05T05:55:00Z,D-AXFB-1K,FD4018,0,2.256,37.73,0.949
2026-09-05T05:55:01Z,D-AXFB-1K,FD4018,0,2.371,37.66,1.021
2026-09-05T05:55:02Z,D-AXFB-1K,FD4018,65,2.464,37.16,1.027
2026-09-05T05:55:03Z,D-AXFB-1K,FD4018,1,2.527,37.05,0.964
2026-09-05T05:55:04Z,D-AXFB-1K,FD4018,1,2.392,37.61,1.0
2026-09-05T05:55:05Z,D-AXFB-1K,FD4018,0,2.443,37.01,0.983
2026-09-05T05:55:06Z,D-AXFB-1K,FD4018,0,2.456,37.55,1.021
2026-09-05T05:55:07Z,D-AXFB-1K,FD4018,1,2.409,37.69,1.013
2026-09-05T05:55:08Z,D-AXFB-1K,FD4018,1,2.503,37.73,1.03
2026-09-05T05:55:09Z,D-AXFB-1K,FD4018,1,2.464,38.19,0.98
2026-09-05T05:55:10Z,D-AXFB-1K,FD4018,0,2.435,37.31,1.033
2026-09-05T05:55:11Z,D-AXFB-1K,FD4018,0,2.231,38.04,0.997
2026-09-05T05:55:12Z,D-AXFB-1K,FD4018,1,2.367,38.14,0.977
2026-09-05T05:55:13Z,D-AXFB-1K,FD4018,0,2.454,37.79,1.016
2026-09-05T05:55:14Z,D-AXFB-1K,FD4018,1,2.322,37.68,0.993
2026-09-05T05:55:15Z,D-AXFB-1K,FD4018,0,2.17,36.75,0.981
2026-09-05T05:55:16Z,D-AXFB-1K,FD4018,2,2.56,38.2,0.935
2026-09-05T05:55:17Z,D-AXFB-1K,FD4018,1,2.372,37.63,1.012
2026-09-05T05:55:18Z,D-AXFB-1K,FD4018,2,2.226,39.34,0.938
2026-09-05T05:55:19Z,D-AXFB-1K,FD4018,0,2.338,38.1,0.943
2026-09-05T05:55:20Z,D-AXFB-1K,FD4018,1,2.465,38.52,1.029
2026-09-05T05:55:21Z,D-AXFB-1K,FD4018,1,2.368,38.41,1.037
2026-09-05T05:55:22Z,D-AXFB-1K,FD4018,1,2.436,38.1,1.051
2026-09-05T05:55:23Z,D-AXFB-1K,FD4018,1,2.441,38.91,0.942
2026-09-05T05:55:24Z,D-AXFB-1K,FD4018,1,2.434,38.53,0.959
2026-09-05T05:55:25Z,D-AXFB-1K,FD4018,0,2.433,38.18,0.976
2026-09-05T05:55:26Z,D-AXFB-1K,FD4018,1,2.341,37.93,0.976
2026-09-05T05:55:27Z,D-AXFB-1K,FD4018,0,2.495,37.68,0.981
2026-09-05T05:55:28Z,D-AXFB-1K,FD4018,1,2.384,38.27,1.005
2026-09-05T05:55:29Z,D-AXFB-1K,FD4018,0,2.42,37.22,0.95
2026-09-05T05:55:30Z,D-AXFB-1K,FD4018,0,2.296,38.0,1.026
2026-09-05T05:55:31Z,D-AXFB-1K,FD4018,0,2.404,37.97,0.998
2026-09-05T05:55:32Z,D-AXFB-1K,FD4018,0,2.528,37.15,0.98
2026-09-05T05:55:33Z,D-AXFB-1K,FD4018,1,2.549,38.11,0.992
2026-09-05T05:55:34Z,D-AXFB-1K,FD4018,0,2.333,37.75,0.97
2026-09-05T05:55:35Z,D-AXFB-1K,FD4018,0,2.401,38.58,1.012
2026-09-05T05:55:36Z,D-AXFB-1K,FD4018,0,2.303,38.5,0.992
2026-09-05T05:55:37Z,D-AXFB-1K,FD4018,0,2.371,37.93,0.987
2026-09-05T05:55:38Z,D-AXFB-1K,FD4018,1,2.159,37.16,0.921
2026-09-05T05:55:39Z,D-AXFB-1K,FD4018,0,2.349,37.6,1.031
2026-09-05T05:55:40Z,D-AXFB-1K,FD4018,1,2.483,38.42,1.012
2026-09-05T05:55:41Z,D-AXFB-1K,FD4018,1,2.282,38.07,1.005
2026-09-05T05:55:42Z,D-AXFB-1K,FD4018,0,2.292,38.13,1.054
2026-09-05T05:55:43Z,D-AXFB-1K,FD4018,2,2.353,37.82,0.992
2026-09-05T05:55:44Z,D-AXFB-1K,FD4018,0,2.493,36.9,1.01
2026-09-05T05:55:45Z,D-AXFB-1K,FD4018,1,2.651,38.77,1.034
2026-09-05T05:55:46Z,D-AXFB-1K,FD4018,1,2.517,37.88,1.028
2026-09-05T05:55:47Z,D-AXFB-1K,FD4018,47,2.436,37.97,1.02
2026-09-05T05:55:48Z,D-AXFB-1K,FD4018,1,2.415,38.29,0.998
2026-09-05T05:55:49Z,D-AXFB-1K,FD4018,1,2.44,38.29,0.955
